iter	RMSE
0	8.804295095
1	8.644724006
2	8.484712545
3	8.336426276
4	8.182930235
5	8.056159169
6	7.914957633
7	7.777369134
8	7.631220342
9	7.51555818
10	7.386469229
11	7.256240117
12	7.134469566
13	7.016705009
14	6.906313608
15	6.784531602
16	6.66793072
17	6.556161402
18	6.449077342
19	6.353793775
20	6.25160718
21	6.153776282
22	6.054790449
23	5.961384332
24	5.876179712
25	5.811657866
26	5.716642542
27	5.63281411
28	5.544309732
29	5.475727008
30	5.404129836
31	5.321372973
32	5.247045906
33	5.172241755
34	5.10141306
35	5.037049642
36	4.981117404
37	4.927568589
38	4.861846813
39	4.808057902
40	4.738643326
41	4.675924866
42	4.631657601
43	4.569306842
44	4.52930895
45	4.468773535
46	4.419849559
47	4.368389732
48	4.318087275
49	4.267661987
50	4.21799398
51	4.178536427
52	4.129397083
53	4.081825165
54	4.038706216
55	3.993281411
56	3.948302104
57	3.910147984
58	3.877631644
59	3.847252158
60	3.812663532
61	3.783410083
62	3.749238001
63	3.722223346
64	3.692421659
65	3.655610421
66	3.625612838
67	3.588732942
68	3.5575382
69	3.525374267
70	3.489184542
71	3.458135566
72	3.41941738
73	3.400969427
74	3.372393152
75	3.34159295
76	3.318445455
77	3.284550411
78	3.259360674
79	3.238164113
80	3.214030883
81	3.192849255
82	3.168626061
83	3.146078047
84	3.122522449
85	3.103869092
86	3.086431856
87	3.071958232
88	3.054309667
89	3.034752875
90	3.013415468
91	2.990628838
92	2.974286108
93	2.951251857
94	2.930601335
95	2.910802485
96	2.88959963
97	2.876372226
98	2.858420074
99	2.842197085
100	2.824649558
101	2.804446105
102	2.790576157
103	2.779994738
104	2.764385217
105	2.747708142
106	2.728011209
107	2.715447879
108	2.695707044
109	2.680515101
110	2.66153834
111	2.643261318
112	2.628046532
113	2.615457693
114	2.604389148
115	2.594087632
116	2.578172457
117	2.567253681
118	2.557774875
119	2.545683357
120	2.533151237
121	2.519116639
122	2.508541887
123	2.497354102
124	2.48427281
125	2.470723905
126	2.460385305
127	2.451274705
128	2.443240432
129	2.433672748
130	2.423488705
131	2.413952929
132	2.404054409
133	2.393648986
134	2.384226141
135	2.374636724
136	2.365862596
137	2.355739753
138	2.346046794
139	2.338119638
140	2.330510293
141	2.319064837
142	2.310481006
143	2.299178223
144	2.292191729
145	2.279919404
146	2.272594829
147	2.261337074
148	2.255011477
149	2.248199726
150	2.238042387
151	2.233097185
152	2.226346918
153	2.220458265
154	2.211233876
155	2.201224723
156	2.19342735
157	2.185586876
158	2.177609614
159	2.171083022
160	2.164853923
161	2.157582025
162	2.151572537
163	2.145225768
164	2.138730103
165	2.132782648
166	2.125208828
167	2.118176695
168	2.113065397
169	2.103190737
170	2.095670764
171	2.087603242
172	2.081021341
173	2.073546168
174	2.064703909
175	2.055812803
176	2.051515645
177	2.045414116
178	2.036632727
179	2.030147247
180	2.023141431
181	2.015988793
182	2.008667867
183	2.001660811
184	1.993442753
185	1.987061921
186	1.980181949
187	1.975004844
188	1.970273102
189	1.963514716
190	1.956504756
191	1.949272723
192	1.943793862
193	1.939369712
194	1.931878199
195	1.92529753
196	1.921035378
197	1.915898398
198	1.908841105
199	1.905476865
200	1.901199294
201	1.895633729
202	1.886449465
203	1.882530994
204	1.874903469
205	1.870003523
206	1.864507306
207	1.859557676
208	1.851259287
209	1.846943419
210	1.842477527
211	1.835432954
212	1.831892827
213	1.826162518
214	1.820520192
215	1.813704262
216	1.809697279
217	1.804379942
218	1.801016994
219	1.795714167
220	1.793966342
221	1.789016525
222	1.785563255
223	1.780722526
224	1.776649245
225	1.772619511
226	1.768474828
227	1.765423973
228	1.759986515
229	1.756794631
230	1.753878904
231	1.747299209
232	1.742778956
233	1.735647624
234	1.7271017
235	1.722773724
236	1.719743493
237	1.715235767
238	1.707913434
239	1.70567253
240	1.698109325
241	1.694883254
242	1.693083391
243	1.688741073
244	1.68168583
245	1.677396724
246	1.674850811
247	1.669205267
248	1.663372205
249	1.658312099
250	1.654044196
251	1.648954854
252	1.645089672
253	1.643304293
254	1.639838658
255	1.633363169
256	1.62580249
257	1.620457855
258	1.618007714
259	1.612492732
260	1.608925542
261	1.603782495
262	1.599508207
263	1.597994628
264	1.593928002
265	1.589399758
266	1.586961062
267	1.584366115
268	1.579208305
269	1.575853576
270	1.572975528
271	1.569170135
272	1.565026655
273	1.560087119
274	1.554101116
275	1.552165412
276	1.547463161
277	1.543736079
278	1.538452365
279	1.534596157
280	1.52888871
281	1.524452809
282	1.521161275
283	1.518549811
284	1.513889781
285	1.509689236
286	1.505583747
287	1.501704856
288	1.500132718
289	1.497679208
290	1.494827246
291	1.492003931
292	1.48959865
293	1.488323632
294	1.484849476
295	1.481322229
296	1.476270949
297	1.471993019
298	1.46845486
299	1.46111547
300	1.457808004
301	1.454578827
302	1.449389424
303	1.444646368
304	1.439634486
305	1.438366423
306	1.433690081
307	1.429911968
308	1.426232241
309	1.421456706
