iter	Passed	Remaining
0	136	136383
1	138	68982
2	139	46475
3	141	35176
4	142	28413
5	144	23893
6	145	20666
7	147	18239
8	148	16402
9	150	14890
10	152	13723
11	154	12706
12	155	11826
13	157	11093
14	159	10451
15	160	9895
16	162	9383
17	164	8951
18	165	8544
19	167	8183
20	168	7848
21	169	7545
22	171	7271
23	172	7017
24	173	6782
25	175	6566
26	176	6365
27	178	6188
28	179	6019
29	181	5860
30	182	5710
31	184	5568
32	185	5445
33	187	5321
34	188	5204
35	190	5093
36	191	4989
37	193	4894
38	194	4798
39	196	4706
40	197	4618
41	198	4535
42	200	4455
43	201	4379
44	202	4307
45	204	4238
46	205	4172
47	207	4116
48	209	4059
49	210	4002
50	212	3948
51	213	3893
52	214	3840
53	216	3790
54	217	3741
55	219	3699
56	221	3656
57	222	3612
58	223	3569
59	225	3528
60	226	3487
61	227	3448
62	229	3410
63	230	3374
64	232	3339
65	233	3304
66	234	3270
67	236	3239
68	238	3211
69	239	3181
70	240	3150
71	242	3121
72	243	3092
73	244	3065
74	246	3038
75	247	3012
76	249	2986
77	250	2964
78	252	2943
79	253	2920
80	255	2898
81	256	2875
82	258	2854
83	259	2833
84	261	2812
85	262	2791
86	264	2771
87	265	2751
88	266	2731
89	268	2712
90	269	2694
91	271	2676
92	272	2659
93	274	2641
94	275	2623
95	276	2607
96	278	2591
97	279	2575
98	281	2559
99	282	2544
100	284	2529
101	285	2513
102	286	2498
103	288	2483
104	289	2469
105	291	2455
106	292	2441
107	293	2427
108	295	2415
109	297	2403
110	298	2390
111	299	2377
112	301	2365
113	302	2353
114	304	2342
115	305	2329
116	307	2317
117	308	2306
118	310	2298
119	312	2288
120	313	2276
121	314	2266
122	316	2256
123	317	2245
124	319	2235
125	320	2224
126	322	2213
127	323	2203
128	325	2194
129	326	2185
130	328	2176
131	329	2166
132	330	2156
133	332	2147
134	333	2139
135	335	2132
136	337	2124
137	339	2117
138	340	2111
139	342	2103
140	344	2095
141	345	2087
142	347	2080
143	348	2072
144	350	2064
145	351	2055
146	352	2047
147	354	2039
148	355	2031
149	357	2023
150	358	2015
151	359	2008
152	361	2000
153	362	1993
